locus_tag	ftype	length_bp	gene	EC_number	COG	product
IGKOFFHN_00149	gene	76				
IGKOFFHN_00149	tRNA	76				tRNA-Gly(gcc)
IGKOFFHN_00150	gene	74				
IGKOFFHN_00150	tRNA	74				tRNA-Cys(gca)
IGKOFFHN_00151	gene	87				
IGKOFFHN_00151	tRNA	87				tRNA-Leu(taa)
IGKOFFHN_00152	gene	435				
IGKOFFHN_00152	CDS	435				hypothetical protein
IGKOFFHN_00153	gene	297				
IGKOFFHN_00153	CDS	297				hypothetical protein
IGKOFFHN_00154	gene	285				
IGKOFFHN_00154	CDS	285				hypothetical protein
IGKOFFHN_00155	gene	231				
IGKOFFHN_00155	CDS	231				hypothetical protein
IGKOFFHN_00156	gene	231				
IGKOFFHN_00156	CDS	231				hypothetical protein
IGKOFFHN_00157	gene	1626	expZ			
IGKOFFHN_00157	CDS	1626	expZ		COG0488	Nucleotide-binding protein ExpZ
IGKOFFHN_00158	gene	1038				
IGKOFFHN_00158	CDS	1038				hypothetical protein
IGKOFFHN_00159	gene	1080	btuD_1			
IGKOFFHN_00159	CDS	1080	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IGKOFFHN_00160	gene	681	modB			
IGKOFFHN_00160	CDS	681	modB		COG4149	Molybdenum transport system permease protein ModB
IGKOFFHN_00161	gene	756	modA			
IGKOFFHN_00161	CDS	756	modA		COG0725	Molybdate-binding protein ModA
IGKOFFHN_00162	gene	1062	pnoA			
IGKOFFHN_00162	CDS	1062	pnoA	1.13.12.-		Nitronate monooxygenase
IGKOFFHN_00163	gene	984	acuI			
IGKOFFHN_00163	CDS	984	acuI	1.3.1.84	COG0604	Acrylyl-CoA reductase AcuI
IGKOFFHN_00164	gene	1074	ada_1			
IGKOFFHN_00164	CDS	1074	ada_1		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
IGKOFFHN_00165	gene	663	alkB			
IGKOFFHN_00165	CDS	663	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
IGKOFFHN_00166	gene	714				
IGKOFFHN_00166	CDS	714				hypothetical protein
IGKOFFHN_00167	gene	171				
IGKOFFHN_00167	CDS	171				hypothetical protein
IGKOFFHN_00168	gene	303				
IGKOFFHN_00168	CDS	303				hypothetical protein
IGKOFFHN_00169	gene	357				
IGKOFFHN_00169	CDS	357				hypothetical protein
IGKOFFHN_00170	gene	231				
IGKOFFHN_00170	CDS	231				hypothetical protein
IGKOFFHN_00171	gene	297				
IGKOFFHN_00171	CDS	297				hypothetical protein
IGKOFFHN_00172	gene	189				
IGKOFFHN_00172	CDS	189				hypothetical protein
IGKOFFHN_00173	gene	840	gtaB_1			
IGKOFFHN_00173	CDS	840	gtaB_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
IGKOFFHN_00174	gene	1359	garB			
IGKOFFHN_00174	CDS	1359	garB	1.8.1.16		Glutathione amide reductase
IGKOFFHN_00175	gene	1005				
IGKOFFHN_00175	CDS	1005				hypothetical protein
IGKOFFHN_00176	gene	939	xerC_1			
IGKOFFHN_00176	CDS	939	xerC_1			Tyrosine recombinase XerC
IGKOFFHN_00177	gene	564	ahpC_1			
IGKOFFHN_00177	CDS	564	ahpC_1	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
IGKOFFHN_00178	gene	1563	ahpF			
IGKOFFHN_00178	CDS	1563	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
IGKOFFHN_00179	gene	522	gloA			
IGKOFFHN_00179	CDS	522	gloA	4.4.1.5		Lactoylglutathione lyase
IGKOFFHN_00180	gene	519				
IGKOFFHN_00180	CDS	519				hypothetical protein
IGKOFFHN_00181	gene	366				
IGKOFFHN_00181	CDS	366				hypothetical protein
IGKOFFHN_00182	gene	1536	pdeG			
IGKOFFHN_00182	CDS	1536	pdeG	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeG
IGKOFFHN_00183	gene	873	gltC_1			
IGKOFFHN_00183	CDS	873	gltC_1			HTH-type transcriptional regulator GltC
IGKOFFHN_00184	gene	948				
IGKOFFHN_00184	CDS	948				hypothetical protein
IGKOFFHN_00185	gene	1077	hpd			
IGKOFFHN_00185	CDS	1077	hpd	1.13.11.27		4-hydroxyphenylpyruvate dioxygenase
IGKOFFHN_00186	gene	882	rarD_1			
IGKOFFHN_00186	CDS	882	rarD_1		COG2962	Protein RarD
IGKOFFHN_00187	gene	1014	yajO			
IGKOFFHN_00187	CDS	1014	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
IGKOFFHN_00188	gene	900	dmlR_2			
IGKOFFHN_00188	CDS	900	dmlR_2			HTH-type transcriptional regulator DmlR
IGKOFFHN_00189	gene	363				
IGKOFFHN_00189	CDS	363				hypothetical protein
IGKOFFHN_00190	gene	372				
IGKOFFHN_00190	CDS	372				hypothetical protein
IGKOFFHN_00191	gene	1311	nicT_1			
IGKOFFHN_00191	CDS	1311	nicT_1			Putative metabolite transport protein NicT
IGKOFFHN_00192	gene	1125	cdaR			
IGKOFFHN_00192	CDS	1125	cdaR		COG3835	Carbohydrate diacid regulator
IGKOFFHN_00193	gene	1140	garK			
IGKOFFHN_00193	CDS	1140	garK	2.7.1.165	COG1929	Glycerate 2-kinase
IGKOFFHN_00194	gene	1626				
IGKOFFHN_00194	CDS	1626				hypothetical protein
IGKOFFHN_00195	gene	1188	aruH			
IGKOFFHN_00195	CDS	1188	aruH	2.6.1.84	COG0436	Arginine--pyruvate transaminase AruH
IGKOFFHN_00196	gene	969	ghrB_1			
IGKOFFHN_00196	CDS	969	ghrB_1	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
IGKOFFHN_00197	gene	1299	ttuB_1			
IGKOFFHN_00197	CDS	1299	ttuB_1			Putative tartrate transporter
IGKOFFHN_00198	gene	966	kdgK_2			
IGKOFFHN_00198	CDS	966	kdgK_2	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
IGKOFFHN_00199	gene	783				
IGKOFFHN_00199	CDS	783				hypothetical protein
IGKOFFHN_00200	gene	1026	kdgR_1			
IGKOFFHN_00200	CDS	1026	kdgR_1		COG1609	HTH-type transcriptional regulator KdgR
IGKOFFHN_00201	gene	801				
IGKOFFHN_00201	CDS	801				hypothetical protein
IGKOFFHN_00202	gene	2127				
IGKOFFHN_00202	CDS	2127				hypothetical protein
IGKOFFHN_00203	gene	2448				
IGKOFFHN_00203	CDS	2448				hypothetical protein
IGKOFFHN_00204	gene	450				
IGKOFFHN_00204	CDS	450				hypothetical protein
IGKOFFHN_00205	gene	642				
IGKOFFHN_00205	CDS	642				hypothetical protein
IGKOFFHN_00206	gene	474				
IGKOFFHN_00206	CDS	474				hypothetical protein
IGKOFFHN_00207	gene	447				
IGKOFFHN_00207	CDS	447				hypothetical protein
IGKOFFHN_00208	gene	3099	mexB			
IGKOFFHN_00208	CDS	3099	mexB		COG0841	Multidrug resistance protein MexB
IGKOFFHN_00209	gene	1158	acrE			
IGKOFFHN_00209	CDS	1158	acrE			Multidrug export protein AcrE
IGKOFFHN_00210	gene	702	phoP_1			
IGKOFFHN_00210	CDS	702	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
IGKOFFHN_00211	gene	1302	rstB_1			
IGKOFFHN_00211	CDS	1302	rstB_1	2.7.13.3		Sensor protein RstB
IGKOFFHN_00212	gene	627	pncA			
IGKOFFHN_00212	CDS	627	pncA	3.5.1.19	COG1335	Nicotinamidase
IGKOFFHN_00213	gene	759				
IGKOFFHN_00213	CDS	759				hypothetical protein
IGKOFFHN_00214	gene	462	sigH_1			
IGKOFFHN_00214	CDS	462	sigH_1		COG1595	ECF RNA polymerase sigma factor SigH
IGKOFFHN_00215	gene	534				
IGKOFFHN_00215	CDS	534				hypothetical protein
IGKOFFHN_00216	gene	774				
IGKOFFHN_00216	CDS	774		2.1.1.-	COG0500	putative methyltransferase
IGKOFFHN_00217	gene	813	crt			
IGKOFFHN_00217	CDS	813	crt	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
IGKOFFHN_00218	gene	831	nudC_1			
IGKOFFHN_00218	CDS	831	nudC_1	3.6.1.22		NADH pyrophosphatase
IGKOFFHN_00219	gene	780	yfcA			
IGKOFFHN_00219	CDS	780	yfcA		COG0730	putative membrane transporter protein YfcA
IGKOFFHN_00220	gene	1095	sfnG			
IGKOFFHN_00220	CDS	1095	sfnG	1.14.14.35		FMNH(2)-dependent dimethylsulfone monooxygenase
IGKOFFHN_00221	gene	480				
IGKOFFHN_00221	CDS	480				hypothetical protein
IGKOFFHN_00222	gene	567				
IGKOFFHN_00222	CDS	567				hypothetical protein
IGKOFFHN_00223	gene	1344	pssA			
IGKOFFHN_00223	CDS	1344	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
IGKOFFHN_00224	gene	825	efeO_1			
IGKOFFHN_00224	CDS	825	efeO_1		COG2822	Iron uptake system component EfeO
IGKOFFHN_00225	gene	1299	efeB			
IGKOFFHN_00225	CDS	1299	efeB	1.11.1.-	COG2837	Deferrochelatase/peroxidase EfeB
IGKOFFHN_00226	gene	1200	efeO_2			
IGKOFFHN_00226	CDS	1200	efeO_2		COG2822	Iron uptake system component EfeO
IGKOFFHN_00227	gene	840	efeU			
IGKOFFHN_00227	CDS	840	efeU		COG0672	Ferrous iron permease EfeU
IGKOFFHN_00228	gene	1017				
IGKOFFHN_00228	CDS	1017				putative HTH-type transcriptional regulator
IGKOFFHN_00229	gene	1665	acsA_1			
IGKOFFHN_00229	CDS	1665	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
IGKOFFHN_00230	gene	762				
IGKOFFHN_00230	CDS	762		1.-.-.-		putative oxidoreductase
IGKOFFHN_00231	gene	1191	thlA_1			
IGKOFFHN_00231	CDS	1191	thlA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
IGKOFFHN_00232	gene	1128	mmgC_1			
IGKOFFHN_00232	CDS	1128	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
IGKOFFHN_00233	gene	774	echA8_1			
IGKOFFHN_00233	CDS	774	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
IGKOFFHN_00234	gene	1152	mmgC_2			
IGKOFFHN_00234	CDS	1152	mmgC_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
IGKOFFHN_00235	gene	1107	menB_1			
IGKOFFHN_00235	CDS	1107	menB_1	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
IGKOFFHN_00236	gene	687				
IGKOFFHN_00236	CDS	687				hypothetical protein
